combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C006+C002+C005+C008,C001;C006;C002;C005;C008,5,574.9153963346486,child,2,5,42294,38425,2390,50000.0,45568.0,2538.0,952716.58991866,0.2470497803160637,42317.49535440374,0.928666945101908,0.0,103.31869784998707,16
C001+C006+C002+C005+C008,C001;C006;C002;C005;C008,5,574.9153963346486,low_confidence_adult,2,5,42294,38425,2525,50000.0,45568.0,2685.0,752657.817147362,0.2292934886039367,-31832.778799205204,-0.6985774841819962,0.0,139.55259342503268,16
C001+C006+C002+C005+C008,C001;C006;C002;C005;C008,5,574.9153963346486,typical_adult,2,5,42294,38425,2317,50000.0,45568.0,2465.0,488078.76813451375,0.1709892520173593,99202.67590017362,2.177025015365468,0.0,112.39741424401292,16
C001+C006+C002+C005+C008,C001;C006;C002;C005;C008,5,574.9153963346486,experienced_adult,2,5,42294,38425,2053,50000.0,45568.0,2176.0,265802.96270884183,0.1067702358921334,117689.42494044488,2.582720877379847,0.0,119.64989107986912,16
C001+C006+C002+C005+C009,C001;C006;C002;C005;C009,5,545.8281906285843,child,2,5,42294,38425,2782,50000.0,45568.0,3224.0,893498.6424824831,0.2316939220685183,25292.67089953422,0.555053346636548,0.0,135.94733174494468,16
C001+C006+C002+C005+C009,C001;C006;C002;C005;C009,5,545.8281906285843,low_confidence_adult,2,5,42294,38425,2943,50000.0,45568.0,3399.0,714332.7364370974,0.2176179419519533,-49866.68354798795,-1.0943355764568985,0.0,119.30731367692351,16
C001+C006+C002+C005+C009,C001;C006;C002;C005;C009,5,545.8281906285843,typical_adult,2,5,42294,38425,2784,50000.0,45568.0,3231.0,469953.22750851465,0.1646393084500626,89212.96205054203,1.9577985000557852,0.0,129.50862433901057,16
C001+C006+C002+C005+C009,C001;C006;C002;C005;C009,5,545.8281906285843,experienced_adult,2,5,42294,38425,2587,50000.0,45568.0,3012.0,267716.9844128745,0.1075390781456567,90657.18833743838,1.9894923704669587,0.0,127.59256266383454,16
C001+C006+C002+C005+C010,C001;C006;C002;C005;C010,5,559.0561796119356,child,2,5,42294,38425,2405,50000.0,45568.0,2585.0,913196.9003539146,0.2368018947135227,24609.09219066355,0.5400520582571882,0.0,114.76950210495852,16
C001+C006+C002+C005+C010,C001;C006;C002;C005;C010,5,559.0561796119356,low_confidence_adult,2,5,42294,38425,2566,50000.0,45568.0,2760.0,727657.0679764526,0.2216771337817195,-49866.68354798795,-1.0943355764568985,0.0,184.57814802997743,16
C001+C006+C002+C005+C010,C001;C006;C002;C005;C010,5,559.0561796119356,typical_adult,2,5,42294,38425,2401,50000.0,45568.0,2587.0,476382.4270828759,0.1668916580666872,89387.44005606062,1.9616274590954312,0.0,122.32913789898156,16
