combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C006,C001;C006,2,238.0212003122826,low_confidence_adult,2,2,42319,38188,1279,50000.0,45165.0,1350.0,205411.74215825493,0.0742928985146918,109934.39433682448,2.43406164810859,0.0,172.3869695160538,16
C001+C006,C001;C006,2,238.0212003122826,typical_adult,2,2,42319,38188,939,50000.0,45165.0,999.0,104518.7496771855,0.0421463003426528,83383.87655528635,1.8462056139773355,0.0,126.3034751189407,16
C001+C006,C001;C006,2,238.0212003122826,experienced_adult,2,2,42319,38188,711,50000.0,45165.0,762.0,33187.938733369054,0.0148275247331193,22417.64690860509,0.4963499813706429,0.0,134.84588990127668,16
C001+C007,C001;C007,2,221.7131234650907,child,2,3,42319,38188,1298,50000.0,45165.0,1427.0,213538.75888892557,0.0788690419927839,4806.789253429486,0.1064273055115573,0.0,114.19390578893945,16
C001+C007,C001;C007,2,221.7131234650907,low_confidence_adult,2,3,42319,38188,1245,50000.0,45165.0,1370.0,186583.0549882658,0.0674829774732395,20019.31312346393,0.4432483809025557,0.0,124.4333408169914,16
C001+C007,C001;C007,2,221.7131234650907,typical_adult,2,3,42319,38188,1123,50000.0,45165.0,1263.0,113161.62006294185,0.0456314646048141,29917.64187003961,0.6624076579218335,0.0,114.20897335605696,16
C001+C007,C001;C007,2,221.7131234650907,experienced_adult,2,3,42319,38188,1081,50000.0,45165.0,1212.0,49346.2302899228,0.0220466373639035,2315.727985055667,0.0512726222751171,0.0,103.24851897591724,16
C001+C008,C001;C008,2,198.9287054144573,child,2,2,42319,38188,1293,50000.0,45165.0,1363.0,201575.90085127787,0.0744506443312347,93162.32838451747,2.062710691564652,0.0,194.5415396781173,16
C001+C008,C001;C008,2,198.9287054144573,low_confidence_adult,2,2,42319,38188,1295,50000.0,45165.0,1368.0,180172.67978922493,0.0651644860905194,72275.80003452371,1.6002612650176842,0.0,100.21960077993572,16
C001+C008,C001;C008,2,198.9287054144573,typical_adult,2,2,42319,38188,955,50000.0,45165.0,1011.0,87087.79902572442,0.0351174171644339,75107.0411977546,1.6629478843740642,0.0,129.95222587394528,16
C001+C008,C001;C008,2,198.9287054144573,experienced_adult,2,2,42319,38188,681,50000.0,45165.0,725.0,29896.06837937548,0.0133568010016998,4531.523610647352,0.1003326383404705,0.0,131.46636611688882,16
C001+C009,C001;C009,2,169.841499708393,child,2,2,42319,38188,1442,50000.0,45165.0,1793.0,201548.28218875127,0.0744404435720567,53083.92314177449,1.175333181485099,0.0,175.84377192286777,16
C001+C009,C001;C009,2,169.841499708393,low_confidence_adult,2,2,42319,38188,1412,50000.0,45165.0,1763.0,176365.28016014668,0.0637874335847767,58990.623450257845,1.3061136599193588,0.0,112.7627614988014,16
C001+C009,C001;C009,2,169.841499708393,typical_adult,2,2,42319,38188,1190,50000.0,45165.0,1536.0,95963.7715698041,0.0386965778971381,56463.830492435554,1.250167839974218,0.0,115.87045706203207,16
C001+C009,C001;C009,2,169.841499708393,experienced_adult,2,2,42319,38188,1051,50000.0,45165.0,1389.0,37378.83674572571,0.0166999110970763,4218.389630244048,0.0933995268514125,0.0,174.77519057504833,16
C001+C010,C001;C010,2,183.06948869174437,child,2,2,42319,38188,1095,50000.0,45165.0,1179.0,216630.6732601719,0.0800110188669249,52932.490860804646,1.1719803135349196,0.0,127.94313158700244,16
C001+C010,C001;C010,2,183.06948869174437,low_confidence_adult,2,2,42319,38188,1067,50000.0,45165.0,1151.0,193740.1363046842,0.0700715359963078,58913.84557736355,1.3044137180862072,0.0,107.97705840878189,16
C001+C010,C001;C010,2,183.06948869174437,typical_adult,2,2,42319,38188,818,50000.0,45165.0,897.0,104328.2297049092,0.0420694747778845,57500.37668708848,1.2731180490886411,0.0,126.54933621222152,16
C001+C010,C001;C010,2,183.06948869174437,experienced_adult,2,2,42319,38188,663,50000.0,45165.0,733.0,47679.38500538449,0.0213019333953523,4342.024381926403,0.0961369286378036,0.0,167.5586085668765,16
