candidate_id,location,rider_profile,current_lts,target_lts,candidate_length_m,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,baseline_weighted_route_cost,intervention_weighted_route_cost,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,minimum_cost_reduction,routing_origins,runtime_seconds,workers,experiment
C004,Beacon Street,experienced_adult,3.0,2,147.6610593415814,2,42319,38188,522,50000.0,45165.0,559.0,223826561.28193164,223795152.1241981,31409.15773350998,0.0140328107413253,-6013.852588463457,0.0,22269,171.14631743682548,16,od_seed_684
C005,Pond Street,child,3.0,2,95.36521553179928,1,42319,38188,455,50000.0,45165.0,478.0,270751049.4529184,270688802.7283118,62246.72460666066,0.0229903908895041,88645.56496223286,0.0,22269,195.1611034390517,16,od_seed_684
C005,Pond Street,low_confidence_adult,3.0,2,95.36521553179928,1,42319,38188,466,50000.0,45165.0,489.0,276489067.2796048,276425719.6282139,63347.65139090244,0.022911448909783,2417.224825370025,0.0,22269,129.07622941303998,16,od_seed_684
C005,Pond Street,typical_adult,3.0,2,95.36521553179928,1,42319,38188,338,50000.0,45165.0,358.0,247990330.8889263,247960663.97798288,29666.910943377377,0.0119629305050062,5463.83796854881,0.0,22269,112.6661068580579,16,od_seed_684
C005,Pond Street,experienced_adult,3.0,2,95.36521553179928,1,42319,38188,246,50000.0,45165.0,262.0,223826561.28193164,223816718.14926767,9843.13266394208,0.0043976606742144,777.116367931647,0.0,22269,103.30799822323024,16,od_seed_684
C006,Dartmouth Street,child,3.0,2,108.34337222927216,1,42319,38188,544,50000.0,45165.0,576.0,270751049.4529184,270675039.4485768,76010.00434158187,0.0280737616696844,63049.03968748306,0.0,22269,97.45153312943876,16,od_seed_684
C006,Dartmouth Street,low_confidence_adult,3.0,2,108.34337222927216,1,42319,38188,559,50000.0,45165.0,591.0,276489067.2796048,276409913.2177804,79154.06182436078,0.0286282790864619,55443.26044311068,0.0,22269,110.49629355408253,16,od_seed_684
C006,Dartmouth Street,typical_adult,3.0,2,108.34337222927216,1,42319,38188,444,50000.0,45165.0,470.0,247990330.8889263,247948420.15835115,41910.73057513029,0.0169001470439998,24477.81229246704,0.0,22269,209.28356817085296,16,od_seed_684
C006,Dartmouth Street,experienced_adult,3.0,2,108.34337222927216,1,42319,38188,301,50000.0,45165.0,326.0,223826561.28193164,223815561.48513612,10999.796795466556,0.0049144287132264,18591.901217871564,0.0,22269,129.80482158716768,16,od_seed_684
C007,Longwood Avenue,child,3.0,2,92.03529538208026,2,42319,38188,448,50000.0,45165.0,537.0,270751049.4529184,270684705.51266795,66343.94025041568,0.0245036687334991,-48125.70160737547,0.0,22269,136.0456337549258,16,od_seed_684
C007,Longwood Avenue,low_confidence_adult,3.0,2,92.03529538208026,2,42319,38188,423,50000.0,45165.0,508.0,276489067.2796048,276428331.52529114,60735.75431365151,0.021966783320308,-38894.53245389994,0.0,22269,148.4910109047778,16,od_seed_684
C007,Longwood Avenue,typical_adult,3.0,2,92.03529538208026,2,42319,38188,550,50000.0,45165.0,655.0,247990330.8889263,247939835.9857953,50494.90313103096,0.0203616419035496,-27582.734817049168,0.0,22269,106.07481714710592,16,od_seed_684
