candidate_id,location,rider_profile,current_lts,target_lts,candidate_length_m,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,baseline_weighted_route_cost,intervention_weighted_route_cost,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,minimum_cost_reduction,routing_origins,runtime_seconds,workers,experiment
C004,Beacon Street,child,3.0,2,147.6610593415814,2,42294,38425,216,50000.0,45568.0,235.0,385637497.3091657,385551631.41290927,85865.8962564433,0.0222659613900576,-27301.65686311737,0.0,22268,126.2540339678526,16,high_aversion
C004,Beacon Street,low_confidence_adult,3.0,2,147.6610593415814,2,42294,38425,278,50000.0,45568.0,298.0,328250846.4282835,328167310.9861597,83535.44212379455,0.0254486600819917,-78400.98659458099,0.0,22268,150.84319126908667,16,high_aversion
C004,Beacon Street,typical_adult,3.0,2,147.6610593415814,2,42294,38425,382,50000.0,45568.0,407.0,285444121.4146972,285363865.8810185,80255.53367869245,0.0281160225969748,-30771.763066932624,0.0,22268,147.16239723796025,16,high_aversion
C004,Beacon Street,experienced_adult,3.0,2,147.6610593415814,2,42294,38425,489,50000.0,45568.0,514.0,248948558.0769664,248884702.57964063,63855.49732574243,0.0256500771962698,-7162.400610385978,0.0,22268,131.38869380485266,16,high_aversion
C005,Pond Street,child,3.0,2,95.36521553179928,1,42294,38425,576,50000.0,45568.0,596.0,385637497.3091657,385470247.3684462,167249.9407194881,0.0433697298334564,-10075.636506602532,0.0,22268,108.72022311389446,16,high_aversion
C005,Pond Street,low_confidence_adult,3.0,2,95.36521553179928,1,42294,38425,572,50000.0,45568.0,591.0,328250846.4282835,328123103.7676867,127742.660596823,0.038916170967051,-97.6824112171123,0.0,22268,97.66842998284848,16,high_aversion
C005,Pond Street,typical_adult,3.0,2,95.36521553179928,1,42294,38425,560,50000.0,45568.0,578.0,285444121.4146972,285363516.94195485,80604.47274231951,0.0282382668603695,19611.8743773612,0.0,22268,94.90657676011324,16,high_aversion
C005,Pond Street,experienced_adult,3.0,2,95.36521553179928,1,42294,38425,417,50000.0,45568.0,432.0,248948558.0769664,248912720.0943188,35837.98264761198,0.0143957381896271,8438.495733585398,0.0,22268,198.96016430994496,16,high_aversion
C006,Dartmouth Street,child,3.0,2,108.34337222927216,1,42294,38425,829,50000.0,45568.0,874.0,385637497.3091657,385373348.62535423,264148.6838114667,0.0684966284800097,98800.28209683136,0.0,22268,104.30632263305596,16,high_aversion
C006,Dartmouth Street,low_confidence_adult,3.0,2,108.34337222927216,1,42294,38425,737,50000.0,45568.0,780.0,328250846.4282835,328068033.5292747,182812.89900883904,0.0556930472527449,26727.975449882808,0.0,22268,156.43486687494442,16,high_aversion
C006,Dartmouth Street,typical_adult,3.0,2,108.34337222927216,1,42294,38425,565,50000.0,45568.0,601.0,285444121.4146972,285355096.30321646,89025.11148072028,0.0311882798775117,20552.841258991262,0.0,22268,124.83431272418238,16,high_aversion
C006,Dartmouth Street,experienced_adult,3.0,2,108.34337222927216,1,42294,38425,452,50000.0,45568.0,476.0,248948558.0769664,248906978.73868263,41579.338283757264,0.0167019799612184,21973.96933543958,0.0,22268,162.4844492371194,16,high_aversion
C007,Longwood Avenue,child,3.0,2,92.03529538208026,2,42294,38425,160,50000.0,45568.0,206.0,385637497.3091657,385584336.70013857,53160.6090271273,0.0137851244752033,-23248.14616065672,0.0,22268,109.95249020308256,16,high_aversion
C007,Longwood Avenue,low_confidence_adult,3.0,2,92.03529538208026,2,42294,38425,321,50000.0,45568.0,399.0,328250846.4282835,328180721.2102948,70125.21798869237,0.021363301496928,-60456.480260619806,0.0,22268,148.7203390749637,16,high_aversion
C007,Longwood Avenue,typical_adult,3.0,2,92.03529538208026,2,42294,38425,383,50000.0,45568.0,469.0,285444121.4146972,285383618.2466059,60503.16809135311,0.0211961513838476,3742.6655513540327,0.0,22268,141.0952846747823,16,high_aversion
C007,Longwood Avenue,experienced_adult,3.0,2,92.03529538208026,2,42294,38425,516,50000.0,45568.0,607.0,248948558.0769664,248901574.5766939,46983.500272506426,0.0188727746147381,-24890.568192313465,0.0,22268,108.79390969779342,16,high_aversion
C008,Columbia Road,child,3.0,2,69.25087733144694,1,42294,38425,768,50000.0,45568.0,801.0,385637497.3091657,385475241.4659737,162255.84319196033,0.0420747059930947,17473.57462019046,0.0,22268,211.7600183051545,16,high_aversion
C008,Columbia Road,low_confidence_adult,3.0,2,69.25087733144694,1,42294,38425,725,50000.0,45568.0,755.0,328250846.4282835,328132632.2677469,118214.16053656042,0.0360133604597994,17500.01608578269,0.0,22268,136.0499829070177,16,high_aversion
C008,Columbia Road,typical_adult,3.0,2,69.25087733144694,1,42294,38425,669,50000.0,45568.0,695.0,285444121.4146972,285373969.7963076,70151.61838970464,0.0245763051773581,25205.01938116668,0.0,22268,127.48640323989092,16,high_aversion
C008,Columbia Road,experienced_adult,3.0,2,69.25087733144694,1,42294,38425,480,50000.0,45568.0,502.0,248948558.0769664,248918685.34905195,29872.727914426967,0.0119995585213196,16469.044083141325,0.0,22268,118.46701792499516,16,high_aversion
C009,Massachusetts Avenue,child,3.0,2,40.1636716253826,1,42294,38425,601,50000.0,45568.0,910.0,385637497.3091657,385527934.3567034,109562.95246231882,0.0284108659626743,683.578708870332,0.0,22268,108.33501517190598,16,high_aversion
C009,Massachusetts Avenue,low_confidence_adult,3.0,2,40.1636716253826,1,42294,38425,604,50000.0,45568.0,913.0,328250846.4282835,328166506.7342374,84339.69404614547,0.0256936714600588,-2.401465692969396e-10,0.0,22268,111.13862382108346,16,high_aversion
C009,Massachusetts Avenue,typical_adult,3.0,2,40.1636716253826,1,42294,38425,610,50000.0,45568.0,919.0,285444121.4146972,285388792.4804454,55328.93425176504,0.0193834554999934,-174.47800551890154,0.0,22268,137.99382882588543,16,high_aversion
C009,Massachusetts Avenue,experienced_adult,3.0,2,40.1636716253826,1,42294,38425,648,50000.0,45568.0,958.0,248948558.0769664,248914229.5781572,34328.49880919597,0.0137893945136178,1422.4951989164747,0.0,22268,148.47254468896426,16,high_aversion
C010,South Service Road,child,4.0,2,53.39166060873392,1,42294,38425,221,50000.0,45568.0,269.0,385637497.3091657,385508236.098832,129261.21033375038,0.0335188386076786,-3.372564449932724e-10,0.0,22268,129.651623304002,16,high_aversion
C010,South Service Road,low_confidence_adult,4.0,2,53.39166060873392,1,42294,38425,221,50000.0,45568.0,269.0,328250846.4282835,328153182.402698,97664.0255855006,0.0297528632898249,-2.401465692969396e-10,0.0,22268,106.8391684498638,16,high_aversion
C010,South Service Road,typical_adult,4.0,2,53.39166060873392,1,42294,38425,221,50000.0,45568.0,269.0,285444121.4146972,285382363.28087103,61758.13382612626,0.0216358051166179,-3.1726532512266203e-10,0.0,22268,145.41269787284546,16,high_aversion
C010,South Service Road,experienced_adult,4.0,2,53.39166060873392,1,42294,38425,221,50000.0,45568.0,269.0,248948558.0769664,248902598.5355144,45959.54145200137,0.018461461197856,-3.3704683488622317e-10,0.0,22268,114.69018027884886,16,high_aversion
