combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C004,C001;C004,2,277.3388874245918,typical_adult,2,3,42294,38425,1033,50000.0,45568.0,1099.0,126614.71987505,0.0509001709092442,50687.89542450286,1.1123572556290129,0.0,125.5239562170027,16
C001+C004,C001;C004,2,277.3388874245918,experienced_adult,2,3,42294,38425,921,50000.0,45568.0,982.0,51959.04390387933,0.0231527800866238,5220.488108388987,0.1145647846819914,0.0,122.4989455519244,16
C001+C005,C001;C005,2,225.04304361480968,child,2,2,42294,38425,1354,50000.0,45568.0,1428.0,227767.0190641196,0.0838548571134554,89711.53343435787,1.968739761112137,0.0,119.66706282109952,16
C001+C005,C001;C005,2,225.04304361480968,low_confidence_adult,2,2,42294,38425,1331,50000.0,45568.0,1403.0,202098.78499213047,0.0728554653526305,77163.26906762064,1.6933652797493997,0.0,123.00305612781084,16
C001+C005,C001;C005,2,225.04304361480968,typical_adult,2,2,42294,38425,996,50000.0,45568.0,1054.0,101701.42030385372,0.0408848171862449,73629.91584406857,1.615825049246589,0.0,128.5302260031458,16
C001+C005,C001;C005,2,225.04304361480968,experienced_adult,2,2,42294,38425,699,50000.0,45568.0,745.0,33500.978013479384,0.0149279262733893,5273.002840375874,0.115717232276507,0.0,134.62128363386728,16
C001+C006,C001;C006,2,238.0212003122826,child,2,2,42294,38425,1350,50000.0,45568.0,1444.0,233411.9676850532,0.0859331051493922,91366.20233966624,2.005051842074838,0.0,200.48078840901144,16
C001+C006,C001;C006,2,238.0212003122826,low_confidence_adult,2,2,42294,38425,1330,50000.0,45568.0,1420.0,209952.55140714065,0.0756867035857485,101533.69506957632,2.228179754862542,0.0,119.27054302499891,16
C001+C006,C001;C006,2,238.0212003122826,typical_adult,2,2,42294,38425,968,50000.0,45568.0,1035.0,107256.50559995529,0.0431180076973169,86357.7130703988,1.8951394195575575,0.0,124.824410317,16
C001+C006,C001;C006,2,238.0212003122826,experienced_adult,2,2,42294,38425,707,50000.0,45568.0,764.0,33897.071020569594,0.0151044240223466,20559.00602669505,0.4511720072571771,0.0,111.26714789005928,16
C001+C007,C001;C007,2,221.7131234650907,child,2,3,42294,38425,1314,50000.0,45568.0,1461.0,218380.9980339414,0.0803992933730005,12094.470830165512,0.2654158802265957,0.0,104.90941839618608,16
C001+C007,C001;C007,2,221.7131234650907,low_confidence_adult,2,3,42294,38425,1247,50000.0,45568.0,1386.0,187635.53460810543,0.0676415456485571,42485.29333155687,0.932349309417944,0.0,107.52516199694946,16
C001+C007,C001;C007,2,221.7131234650907,typical_adult,2,3,42294,38425,1106,50000.0,45568.0,1240.0,112630.25408626812,0.0452782993020098,35551.94363734691,0.7801953923223952,0.0,114.0425365299452,16
C001+C007,C001;C007,2,221.7131234650907,experienced_adult,2,3,42294,38425,1074,50000.0,45568.0,1208.0,49402.965966710246,0.0220138001147631,4223.369582270211,0.092682794554736,0.0,143.72200110414997,16
C001+C008,C001;C008,2,198.9287054144573,child,2,2,42294,38425,1440,50000.0,45568.0,1522.0,218609.201761366,0.0804833090089542,64679.1049819808,1.4193974934599016,0.0,122.14869539719076,16
C001+C008,C001;C008,2,198.9287054144573,low_confidence_adult,2,2,42294,38425,1434,50000.0,45568.0,1514.0,192555.48283568968,0.0694151590705549,78003.9801596766,1.711814873588409,0.0,138.64765648311004,16
C001+C008,C001;C008,2,198.9287054144573,typical_adult,2,2,42294,38425,1057,50000.0,45568.0,1122.0,95623.47302486555,0.0384414318074898,80604.54304272457,1.76888481045305,0.0,194.50126434396952,16
C001+C008,C001;C008,2,198.9287054144573,experienced_adult,2,2,42294,38425,736,50000.0,45568.0,786.0,31661.714952758837,0.0141083566668913,4685.385701164858,0.1028218421077259,0.0,126.1058172519988,16
C001+C009,C001;C009,2,169.841499708393,child,2,2,42294,38425,1519,50000.0,45568.0,1887.0,211047.8601728953,0.077699520464447,44792.59690944354,0.982983604929853,0.0,120.60050941100052,16
C001+C009,C001;C009,2,169.841499708393,low_confidence_adult,2,2,42294,38425,1478,50000.0,45568.0,1842.0,181975.0777269639,0.0656009830583361,68061.73511067002,1.4936300717755886,0.0,115.096234530909,16
C001+C009,C001;C009,2,169.841499708393,typical_adult,2,2,42294,38425,1237,50000.0,45568.0,1590.0,100001.38322861752,0.0402013881365501,61906.85572864009,1.3585598606179794,0.0,114.00339306797832,16
C001+C009,C001;C009,2,169.841499708393,experienced_adult,2,2,42294,38425,1096,50000.0,45568.0,1443.0,38592.353025552686,0.0171966263328271,5336.793254180015,0.1171171272423633,0.0,120.29576274496505,16
C001+C010,C001;C010,2,183.06948869174437,child,2,2,42294,38425,1117,50000.0,45568.0,1224.0,219469.406900045,0.0808000027045057,44792.59690944354,0.982983604929853,0.0,109.2939053089358,16
C001+C010,C001;C010,2,183.06948869174437,low_confidence_adult,2,2,42294,38425,1078,50000.0,45568.0,1181.0,193208.1105229284,0.0696504276490258,66483.34788927308,1.4589920095082751,0.0,214.33758288691752,16
C001+C010,C001;C010,2,183.06948869174437,typical_adult,2,2,42294,38425,811,50000.0,45568.0,902.0,104451.24751954828,0.0419902706073627,60484.36052972327,1.3273428838159074,0.0,121.9052399229986,16
C001+C010,C001;C010,2,183.06948869174437,experienced_adult,2,2,42294,38425,642,50000.0,45568.0,725.0,46439.62675617629,0.0206933458510072,4946.25012138194,0.1085465704306078,0.0,128.82708158600144,16
