combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C002+C006,C001;C002;C006,3,410.2993034714024,child,2,3,42294,38425,1895,50000.0,45568.0,2023.0,345670.7416330932,0.1272623699737019,1731.8505874738948,0.0380058503220219,0.0,121.62951123200035,16
C001+C002+C006,C001;C002;C006,3,410.2993034714024,low_confidence_adult,2,3,42294,38425,1886,50000.0,45568.0,2010.0,313330.1834206709,0.1129537533985023,11122.9649535659,0.2440959654486899,0.0,120.22936197699892,16
C001+C002+C006,C001;C002;C006,3,410.2993034714024,typical_adult,2,3,42294,38425,1556,50000.0,45568.0,1656.0,197236.68984822757,0.0792907904606649,75178.0655847647,1.6497995432049837,0.0,106.7319006358739,16
C001+C002+C006,C001;C002;C006,3,410.2993034714024,experienced_adult,2,3,42294,38425,1259,50000.0,45568.0,1343.0,67499.59599019792,0.0300775992873942,33135.835707271326,0.7271733608512844,0.0,145.503133446211,16
C001+C002+C007,C001;C002;C007,3,393.99122662421047,child,2,4,42294,38425,1859,50000.0,45568.0,2040.0,330639.77198198147,0.1217285581973102,-77539.88092202682,-1.7016301115262205,0.0,102.6289501991123,16
C001+C002+C007,C001;C002;C007,3,393.99122662421047,low_confidence_adult,2,4,42294,38425,1803,50000.0,45568.0,1976.0,291013.1666216358,0.1049085954613109,-47925.436784453545,-1.0517344799959083,0.0,94.28812855714932,16
C001+C002+C007,C001;C002;C007,3,393.99122662421047,typical_adult,2,4,42294,38425,1694,50000.0,45568.0,1861.0,202610.4383345404,0.0814510820653578,24372.296151712813,0.5348555159698212,0.0,97.57981240097432,16
C001+C002+C007,C001;C002;C007,3,393.99122662421047,experienced_adult,2,4,42294,38425,1626,50000.0,45568.0,1787.0,83005.49093633858,0.0369869753798108,16800.199262846487,0.3686841481488432,0.0,99.53053589817137,16
C001+C002+C008,C001;C002;C008,3,371.2068085735771,child,2,3,42294,38425,1985,50000.0,45568.0,2101.0,330867.975709406,0.1218125738332638,-24955.24677021153,-0.5476484982929145,0.0,96.08284070901573,16
C001+C002+C008,C001;C002;C008,3,371.2068085735771,low_confidence_adult,2,3,42294,38425,1990,50000.0,45568.0,2104.0,295933.11484922,0.1066822088833087,-12406.74995633381,-0.2722689158254435,0.0,93.57631682185456,16
C001+C002+C008,C001;C002;C008,3,371.2068085735771,typical_adult,2,3,42294,38425,1645,50000.0,45568.0,1743.0,185603.65727313783,0.0746142145708378,69424.8955570905,1.523544934100476,0.0,97.10871365992352,16
C001+C002+C008,C001;C002;C008,3,371.2068085735771,experienced_adult,2,3,42294,38425,1288,50000.0,45568.0,1365.0,65264.23992238717,0.0290815319319389,17262.215381741134,0.3788231957018332,0.0,117.2614205120044,16
C001+C002+C009,C001;C002;C009,3,342.1196028675128,child,2,3,42294,38425,2064,50000.0,45568.0,2466.0,323306.63412093534,0.1190287852887567,-44841.75484274879,-0.9840623868229632,0.0,142.86722986912355,16
C001+C002+C009,C001;C002;C009,3,342.1196028675128,low_confidence_adult,2,3,42294,38425,2034,50000.0,45568.0,2432.0,285352.70974049426,0.1028680328710899,-22348.995005340388,-0.4904537176382634,0.0,107.10908746393396,16
C001+C002+C009,C001;C002;C009,3,342.1196028675128,typical_adult,2,3,42294,38425,1825,50000.0,45568.0,2211.0,189981.56747688985,0.0763741708998981,50727.20824300598,1.1132199842654051,0.0,190.6601034650812,16
C001+C002+C009,C001;C002;C009,3,342.1196028675128,experienced_adult,2,3,42294,38425,1648,50000.0,45568.0,2022.0,72194.87799518101,0.0321698015978748,17913.62293475629,0.3931184808364705,0.0,194.39761261607052,16
C001+C002+C010,C001;C002;C010,3,355.3475918508641,child,2,3,42294,38425,1662,50000.0,45568.0,1803.0,331728.180848085,0.1221292675288154,-44841.75484274879,-0.9840623868229632,0.0,122.06906563811935,16
C001+C002+C010,C001;C002;C010,3,355.3475918508641,low_confidence_adult,2,3,42294,38425,1634,50000.0,45568.0,1771.0,296585.74253645865,0.1069174774617796,-23927.382226737347,-0.5250917799055773,0.0,133.38734888588078,16
C001+C002+C010,C001;C002;C010,3,355.3475918508641,typical_adult,2,3,42294,38425,1399,50000.0,45568.0,1523.0,194431.43176782056,0.0781630533707107,49304.71304408918,1.082003007463333,0.0,126.25038350303656,16
C001+C002+C010,C001;C002;C010,3,355.3475918508641,experienced_adult,2,3,42294,38425,1194,50000.0,45568.0,1304.0,80042.15172580462,0.0356665211160548,17523.079801958218,0.3845479240247151,0.0,96.99598242715,16
